time, reg flux, resp flux
0.023,1.42044e-10,3.33205e-10
0.024,1.19564e-10,1.06556e-10


time, reg flux, resp flux
0,1.73779e-14,4.02301e-10
0.001,1.89403e-12,4.30173e-10
0.002,4.45477e-12,1.92128e-10
0.003,2.26039e-11,9.05993e-10
0.004,1.19331e-11,4.49377e-10
0.005,7.57692e-11,6.8973e-10
0.006,3.07256e-12,1.52816e-10
0.007,1.28647e-10,2.78179e-10
0.008,5.68395e-12,3.01637e-10
0.009,1.33779e-10,2.9039e-10
0.01,1.02231e-10,3.64921e-10
0.011,1.9675e-18,2.84549e-10
0.012,1.29052e-10,1.68608e-10
0.013,2.06104e-10,4.75679e-11
0.014,5.01954e-12,1.87607e-10
0.015,4.35829e-12,4.83182e-10
0.016,2.27912e-10,1.8738e-10
0.017,3.08597e-18,3.76607e-10
0.018,2.99391e-12,1.19434e-10
0.019,1.55062e-11,2.0061e-10
0.02,2.01019e-11,3.74391e-10
0.021,1.09834e-11,9.34391e-11
0.022,5.5838e-12,3.49482e-10
0.023,6.7337e-12,1.06903e-10
0.024,2.21342e-11,1.10018e-10


time, reg flux, resp flux
0,1.39208e-14,5.33927e-10
0.001,4.2416e-12,2.47036e-10
0.002,1.13701e-11,8.85615e-10
0.003,1.20366e-10,6.29387e-10
0.004,1.48987e-10,8.30062e-10
0.005,2.30639e-11,3.0412e-10
0.006,5.23924e-10,1.59911e-10
0.007,1.51872e-11,2.21695e-10
0.008,8.96459e-13,3.7411e-10
0.009,1.03022e-10,4.60772e-10
0.01,1.18289e-10,4.12922e-10
0.011,2.91088e-18,1.127e-10
0.012,2.18343e-11,3.2351e-10
0.013,4.02659e-12,2.29605e-10
0.014,1.76462e-11,2.23739e-10
0.015,1.52492e-10,1.97205e-10
0.016,1.47083e-10,3.21146e-10
0.017,2.47669e-11,2.20483e-10
0.018,1.30858e-13,1.1061e-10
0.019,1.10981e-10,1.48597e-10
0.02,2.27217e-12,2.16157e-10
0.021,2.4819e-11,1.72394e-10
0.022,1.25609e-10,7.16999e-11
0.023,1.0006e-11,2.57535e-10
0.024,7.51526e-12,1.91523e-10


time, reg flux, resp flux
0,6.59843e-15,3.1007e-10
0.001,8.59003e-12,6.12457e-10
0.002,3.13034e-11,1.03278e-09
0.003,1.43317e-11,5.73244e-10
0.004,3.17598e-11,5.29563e-10
0.005,1.79961e-11,2.14604e-10
0.006,1.983e-18,4.35867e-10
0.007,7.78445e-13,2.29195e-10
0.008,1.0449e-10,1.31238e-10
0.009,2.28876e-10,5.3374e-10
0.01,3.35896e-10,3.06161e-10
0.011,3.23456e-10,4.57164e-10
0.012,1.07729e-10,1.64666e-10
0.013,4.5792e-11,2.28053e-10
0.014,6.75693e-12,3.09452e-10
0.015,1.78631e-11,1.15491e-10
0.016,6.34752e-12,1.58332e-10
0.017,6.16598e-12,3.39536e-10
0.018,1.08856e-12,2.82142e-10
0.019,4.87235e-11,2.61273e-10
0.02,2.31638e-10,3.36898e-10
0.021,8.6548e-13,1.32361e-10
0.022,3.86837e-12,1.31754e-10
0.023,4.82806e-18,1.57265e-10
0.024,2.26371e-10,1.58869e-10


time, reg flux, resp flux
0,8.38843e-15,6.80548e-10
0.001,9.32366e-13,2.42359e-10
0.002,1.41561e-11,2.99131e-10
0.003,2.34074e-11,1.10059e-10
0.004,2.61195e-10,1.32444e-10
0.005,1.13471e-10,1.42799e-10
0.006,5.68841e-10,2.85249e-10
0.007,9.27668e-12,1.63608e-10
0.008,2.0475e-10,2.52018e-10
0.009,1.24002e-10,1.99993e-10
0.01,2.52086e-10,2.37339e-10
0.011,1.2783e-10,4.05439e-10
0.012,1.19498e-10,2.80225e-10
0.013,1.63124e-10,2.01861e-10
0.014,1.08697e-10,2.58399e-10
0.015,4.67078e-13,1.88806e-10
0.016,1.21162e-10,1.63013e-10
0.017,7.55733e-11,1.36511e-10
0.018,1.13693e-10,1.49828e-10
0.019,9.18512e-11,1.6924e-10
0.02,2.53615e-11,5.55463e-11
0.021,2.09144e-10,2.32855e-10
0.022,2.63945e-10,1.59663e-10
0.023,6.61779e-11,1.27095e-10
0.024,2.74903e-11,2.8562e-10


time, reg flux, resp flux
0,1.29643e-14,1.18261e-09
0.001,1.06701e-12,6.54548e-10
0.002,6.90647e-12,9.99162e-10
0.003,1.33242e-10,3.01029e-10
0.004,1.75546e-10,4.64073e-10
0.005,9.8236e-12,5.65005e-10
0.006,1.8523e-10,1.18213e-10
0.007,1.0896e-10,5.7136e-10
0.008,1.14323e-10,1.5388e-10
0.009,1.24906e-10,2.18794e-10
0.01,8.17954e-12,1.74513e-10
0.011,7.3934e-11,1.63497e-10
